Name,RA,DEC
Eta Carina Aglomerado, 161.275125, -59.86661111111111
Eta Carina Nebulosa, 161.265, -59.68333333333333
Omega Centauri, 201.69141666666664, -47.47680555555556
Caixa de Joias, 193.41254166666664, -60.36161111111111
47 Tucano, 6.0218333333333325, -72.0808055555555
Centaurus A.,  201.36720833333328, -43.01805555555555
Nebulosa da Tarântula.,  84.67620833333332, -69.1006388888888
NGC 4038, 180.47091666666665, -18.868166666666667
NGC 4039, 180.47345833333333, -18.88636111111111
Nebulosa Prawn,  254.24999999999997, -40.45666666666667
Nebulosa Pata do Gato, 260.2000416666666, -36.05
Plêiades do Sul, 160.73562499999997, -64.39380555555556
Nebulosa Saturno, 316.045125, -11.36341666666666
Nebulosa Olho do Gato, 269.63916666666665, 66.6331388888888
M2,21h 33.5m,0° 49'
M4,16h 23.6m,-26° 32'
M5,15h 18.6m,2° 5'
M6,17h 40.1m,-32° 13'
M7,17h 53.9m,-34° 49'
M8,18h 3.8m,-24° 23'
M9,17h 19.2m,-18° 31'
M10,16h 57.1m,-4° 6'
M11,18h 51.1m,-6° 16'
M12,16h 47.2m,-1° 57'
M14,17h 37.6m,-3° 15'
M15,21h 30m,12° 10'
M16,18h 18.8m,-13° 47'
M17,18h 20.8m,-16° 11'
M18,18h 19.9m,-17° 8'
M19,17h 2.6m,-26° 16'
M20,18h 2.6m,-23° 2'
M21,18h 4.6m,-22° 30'
M22,18h 36.4m,-23° 54'
M23,17h 56.8m,-19° 1'
M24,18h 16.9m,-18° 29'
M25,18h 31.6m,-19° 15'
M26,18h 45.2m,-9° 24'
M27,19h 59.6m,22° 43'
M28,18h 24.5m,-24° 52'
M30,21h 40.4m,-23° 11'
M35,6h 8.9m,24° 20'
M41,6h 47m,-20° 44'
M42,5h 35.4m,-5° 27'
M43,5h 35.6m,-5° 16'
M44,8h 40.1m,19° 59'
M45,3h 47m,24° 7'
M46,7h 41.8m,-14° 49'
M47,7h 36.6m,-14° 30'
M48,8h 13.8m,-5° 48'
M49,12h 29.8m,8° 0'
M50,7h 3.2m,-8° 20'
M53,13h 12.9m,18° 10'
M54,18h 55.1m,-30° 29'
M55,19h 40m,-30° 58'
M58,12h 37.7m,11° 49'
M59,12h 42m,11° 39'
M60,12h 43.7m,11° 33'
M61,12h 21.9m,4° 28'
M62,17h 1.2m,-30° 7'
M63,13h 15.8m,42° 2'
M64,12h 56.7m,21° 41'
M65,11h 18.9m,13° 5'
M66,11h 20.2m,12° 59'
M67,8h 50.4m,11° 49'
M68,12h 39.5m,-26° 45'
M69,18h 31.4m,-32° 21'
M70,18h 43.2m,-32° 18'
M71,19h 53.8m,18° 47'
M72,20h 53.5m,-12° 32'
M73,20h 58.9m,-12° 38'
M74,1h 36.7m,15° 47'
M75,20h 6.1m,-21° 55'
M77,2h 42.7m,0° 1'
M78,5h 46.7m,0° 3'
M79,5h 24.5m,-24° 33'
M80,16h 17m,-22° 59'
M83,13h 37m,-29° 52'
M84,12h 25.1m,12° 53'
M85,12h 25.4m,18° 11'
M86,12h 26.2m,12° 57'
M87,12h 30.8m,12° 24'
M88,12h 32m,14° 25'
M89,12h 35.7m,12° 33'
M90,12h 36.8m,13° 10'
M91,12h 35.4m,14° 30'
M92,17h 17.1m,43° 8'
M93,7h 44.6m,-23° 52'
M94,12h 50.9m,41° 7'
M95,10h 44m,11° 42'
M96,10h 46.8m,11° 49'
M98,12h 13.8m,14° 54'
M99,12h 18.8m,14° 25'
M100,12h 22.9m,15° 49'
M104,12h 40m,-11° 37'
M105,10h 47.8m,12° 35'
M107,16h 32.5m,-13° 3'
